mean_SFR mean_SFR_spi mean_SFR_ell mean_SSFR mean_SSFR_spi mean_SSFR_ell mean_e mean_e_spi mean_e_ell std_e std_e_spi std_e_ell split_fracs
5.775306e-01 8.504671e-01 2.556535e-02 1.977266e-10 2.946474e-10 1.721690e-12 1.802279e-01 1.846360e-01 1.713133e-01 1.664063e-01 1.569501e-01 1.837280e-01 4.944812e-01
1.308801e+00 1.804018e+00 8.470705e-02 2.784125e-10 3.897880e-10 3.111319e-12 2.046188e-01 1.990934e-01 2.182768e-01 1.853092e-01 1.624617e-01 2.317712e-01 4.045584e-01
1.432891e-01 3.904486e-01 5.333186e-03 8.421921e-11 2.316975e-10 1.901931e-12 1.731288e-01 1.632107e-01 1.786648e-01 1.853364e-01 1.381839e-01 2.068302e-01 1.791583e+00
1.903818e-01 2.566587e-01 1.073650e-02 1.868225e-10 2.547525e-10 2.696382e-12 2.339136e-01 2.401189e-01 2.170939e-01 2.000354e-01 1.910951e-01 2.215967e-01 3.689320e-01
2.859159e-01 5.127493e-01 1.436147e-02 1.561872e-10 2.853544e-10 1.554204e-12 1.663322e-01 1.697657e-01 1.622217e-01 1.790345e-01 1.573114e-01 2.019142e-01 8.353141e-01
8.178772e-01 1.024750e+00 5.244937e-02 5.847370e-10 7.417000e-10 3.973742e-12 2.503507e-01 2.518907e-01 2.446525e-01 2.250237e-01 2.232965e-01 2.312132e-01 2.702703e-01
5.300944e-01 7.933824e-01 3.300638e-02 1.783082e-10 2.717229e-10 1.941079e-12 1.786740e-01 1.822193e-01 1.719805e-01 1.619242e-01 1.578054e-01 1.692252e-01 5.296610e-01
6.142142e-01 8.402226e-01 4.798561e-03 2.714016e-10 3.712083e-10 2.279918e-12 2.109347e-01 2.009825e-01 2.377701e-01 2.122767e-01 1.775402e-01 2.838770e-01 3.708609e-01
3.078660e-01 4.862461e-01 1.359564e-02 1.795798e-10 2.872005e-10 2.039944e-12 1.846056e-01 1.826363e-01 1.878542e-01 1.897205e-01 1.613252e-01 2.289563e-01 6.061776e-01
3.069536e-01 4.098960e-01 5.984585e-03 2.023690e-10 2.705128e-10 3.139313e-12 2.175335e-01 2.143491e-01 2.268436e-01 1.881920e-01 1.795866e-01 2.110757e-01 3.420366e-01
1.694985e+00 2.113749e+00 8.365437e-02 3.199598e-10 4.025854e-10 2.030777e-12 1.999890e-01 1.999965e-01 1.999599e-01 1.811331e-01 1.660975e-01 2.299957e-01 2.598870e-01
3.077258e-01 4.698673e-01 2.724201e-02 2.264876e-10 3.552346e-10 3.772117e-12 2.016556e-01 1.850710e-01 2.303448e-01 2.198816e-01 1.792961e-01 2.739971e-01 5.780781e-01
1.861277e-01 2.607241e-01 1.378408e-02 2.363887e-10 3.371133e-10 3.680322e-12 2.843562e-01 2.464345e-01 3.719683e-01 2.728690e-01 2.168096e-01 3.562030e-01 4.328358e-01
2.212160e-01 3.166330e-01 2.094491e-02 2.062636e-10 3.033482e-10 2.492692e-12 2.355613e-01 2.048189e-01 3.000867e-01 2.529285e-01 1.828147e-01 3.492141e-01 4.764398e-01
2.862146e-01 4.706169e-01 3.603815e-02 1.823753e-10 3.147373e-10 2.801454e-12 2.427559e-01 2.115893e-01 2.850394e-01 2.438472e-01 1.911536e-01 2.957253e-01 7.370892e-01
3.508810e-01 5.679750e-01 1.465735e-02 1.314256e-10 2.148621e-10 2.203606e-12 1.852917e-01 1.708227e-01 2.077005e-01 1.986129e-01 1.502950e-01 2.544214e-01 6.456835e-01
2.743881e-01 5.670018e-01 6.269261e-03 1.491732e-10 3.100116e-10 1.798682e-12 1.851608e-01 1.744303e-01 1.949931e-01 1.965277e-01 1.413822e-01 2.355744e-01 1.091358e+00
6.399542e-01 8.111948e-01 6.262894e-02 4.513780e-10 5.845769e-10 2.307077e-12 2.483511e-01 2.319759e-01 3.035589e-01 2.539107e-01 2.211430e-01 3.361542e-01 2.966102e-01
1.891100e-01 3.802788e-01 1.630388e-02 1.343701e-10 2.809299e-10 1.888081e-12 2.013127e-01 1.657335e-01 2.334743e-01 2.367363e-01 1.526624e-01 2.888927e-01 1.106262e+00
1.206137e+00 1.569003e+00 1.673948e-02 3.837161e-10 5.005704e-10 6.936784e-13 2.201667e-01 2.136473e-01 2.415361e-01 1.909006e-01 1.778593e-01 2.271787e-01 3.050847e-01
1.591554e-01 3.232753e-01 1.155078e-02 1.305384e-10 2.719113e-10 3.391664e-12 2.399348e-01 2.140543e-01 2.632110e-01 2.156755e-01 1.854096e-01 2.372538e-01 1.111888e+00
9.431350e-01 1.388771e+00 9.301181e-03 4.151990e-10 6.125516e-10 1.645521e-12 2.240285e-01 2.257668e-01 2.203861e-01 2.011242e-01 1.915703e-01 2.197571e-01 4.772118e-01
1.138891e+00 1.598848e+00 8.666118e-02 3.923450e-10 5.627795e-10 2.446853e-12 2.185299e-01 2.189393e-01 2.175933e-01 2.011841e-01 1.820175e-01 2.393238e-01 4.371257e-01
1.475989e-01 3.317508e-01 1.989206e-02 7.520987e-11 1.811168e-10 1.764847e-12 2.210277e-01 2.197142e-01 2.219385e-01 1.933802e-01 1.711008e-01 2.074254e-01 1.441989e+00
1.079565e+00 1.517968e+00 1.318055e-02 3.558624e-10 5.013759e-10 1.910620e-12 2.520650e-01 2.539926e-01 2.473761e-01 2.270319e-01 2.020388e-01 2.785631e-01 4.111111e-01
1.825197e-01 2.949882e-01 1.288493e-02 2.671192e-10 4.421561e-10 3.113322e-12 2.790382e-01 2.383003e-01 3.404826e-01 2.810292e-01 2.267333e-01 3.380556e-01 6.630037e-01
4.840842e-01 6.433050e-01 3.169512e-02 3.609932e-10 4.870335e-10 2.878837e-12 2.060933e-01 2.072847e-01 2.027084e-01 1.888876e-01 1.782451e-01 2.162508e-01 3.519553e-01
1.592541e-01 2.752805e-01 7.471145e-03 1.316719e-10 2.294435e-10 3.769285e-12 2.253208e-01 2.188993e-01 2.337213e-01 1.961441e-01 1.744361e-01 2.210694e-01 7.644231e-01
3.570601e-01 6.889451e-01 1.130679e-02 1.572381e-10 3.064938e-10 1.745557e-12 1.811761e-01 1.703980e-01 1.924045e-01 1.843450e-01 1.513709e-01 2.127639e-01 9.598893e-01
1.155076e+00 1.423723e+00 1.303815e-01 3.270988e-10 4.123916e-10 1.767990e-12 2.132791e-01 2.184990e-01 1.933686e-01 1.853623e-01 1.967361e-01 1.314623e-01 2.621723e-01
3.323890e-01 4.517200e-01 1.500179e-02 2.470774e-10 3.391134e-10 2.287061e-12 2.031361e-01 1.963316e-01 2.212342e-01 2.019845e-01 1.736555e-01 2.620126e-01 3.759791e-01
7.059746e-01 9.980828e-01 2.981981e-02 2.543836e-10 3.633129e-10 2.240301e-12 1.706590e-01 1.715702e-01 1.685499e-01 1.611348e-01 1.455054e-01 1.924883e-01 4.320138e-01
3.145179e-01 5.458870e-01 1.257875e-02 1.530635e-10 2.688881e-10 1.911180e-12 1.674037e-01 1.717904e-01 1.616790e-01 1.768721e-01 1.468448e-01 2.095495e-01 7.662771e-01
1.741087e-01 3.233196e-01 1.603835e-02 1.600172e-10 3.087711e-10 2.430924e-12 2.109194e-01 1.966336e-01 2.260534e-01 2.153409e-01 1.714922e-01 2.527760e-01 9.439528e-01
4.033916e-01 5.516259e-01 2.506237e-02 5.348191e-10 7.432142e-10 2.945354e-12 3.218370e-01 3.064388e-01 3.611370e-01 3.015470e-01 2.629901e-01 3.799147e-01 3.918129e-01
9.244957e-01 1.205089e+00 8.107769e-03 4.157488e-10 5.427747e-10 8.955650e-13 2.252376e-01 2.252314e-01 2.252580e-01 2.105760e-01 1.957867e-01 2.529222e-01 3.061947e-01
3.390918e-01 6.651872e-01 4.193310e-03 1.637957e-10 3.209765e-10 2.371719e-12 1.823300e-01 1.797365e-01 1.849936e-01 1.895777e-01 1.610767e-01 2.149175e-01 9.737143e-01
5.209790e-01 6.648839e-01 8.782558e-02 2.535857e-10 3.366633e-10 3.522024e-12 2.031943e-01 1.940036e-01 2.308583e-01 1.964048e-01 1.721575e-01 2.538792e-01 3.322259e-01
4.563556e-01 6.622518e-01 2.245362e-02 2.896055e-10 4.252582e-10 3.733203e-12 2.386685e-01 2.178908e-01 2.824549e-01 2.394792e-01 1.947317e-01 3.089812e-01 4.745223e-01
2.551328e-01 3.337167e-01 1.785537e-02 2.113121e-10 2.805473e-10 2.262246e-12 2.339540e-01 2.246492e-01 2.620490e-01 2.117383e-01 1.926032e-01 2.591214e-01 3.311897e-01
7.126475e-01 9.721332e-01 2.388929e-02 2.699238e-10 3.707000e-10 2.431476e-12 2.099262e-01 2.160177e-01 1.937573e-01 1.817298e-01 1.727143e-01 2.028490e-01 3.767442e-01
4.109984e-01 8.019065e-01 6.871115e-03 1.723574e-10 3.378778e-10 1.239606e-12 2.770099e-01 2.567937e-01 2.979098e-01 2.948180e-01 2.509395e-01 3.328890e-01 9.672897e-01
4.354026e-01 7.784928e-01 1.400957e-02 1.232453e-10 2.220121e-10 1.937176e-12 1.933742e-01 1.836403e-01 2.053296e-01 1.995932e-01 1.604323e-01 2.385264e-01 8.141809e-01
5.754331e-01 8.040794e-01 4.352960e-02 5.731003e-10 8.181872e-10 2.950589e-12 3.216736e-01 2.875830e-01 4.009790e-01 3.039365e-01 2.598358e-01 3.757966e-01 4.298643e-01
3.008144e-01 5.253224e-01 1.744161e-02 1.875475e-10 3.339175e-10 2.800085e-12 2.194286e-01 1.944973e-01 2.508967e-01 2.339961e-01 1.784927e-01 2.861412e-01 7.922705e-01
7.093379e-01 8.352883e-01 2.827230e-02 6.344081e-10 7.511766e-10 2.993697e-12 3.047727e-01 2.801554e-01 4.378884e-01 2.761325e-01 2.414983e-01 3.901218e-01 1.849315e-01
3.242565e-01 4.025126e-01 1.514475e-02 3.028723e-10 3.786807e-10 3.429063e-12 2.354621e-01 2.297780e-01 2.579144e-01 2.117248e-01 1.855663e-01 2.919695e-01 2.531646e-01
2.220799e-01 4.689559e-01 5.286915e-03 1.218625e-10 2.578970e-10 2.404441e-12 1.706175e-01 1.599547e-01 1.799811e-01 1.774904e-01 1.420836e-01 2.031049e-01 1.138763e+00
1.135703e-01 3.151526e-01 5.661727e-03 6.211920e-11 1.734401e-10 2.528289e-12 1.996399e-01 1.933977e-01 2.029814e-01 1.998626e-01 1.587221e-01 2.186552e-01 1.868085e+00
1.568740e-01 3.016768e-01 6.090268e-03 1.379331e-10 2.683456e-10 2.133998e-12 2.106066e-01 2.010113e-01 2.205982e-01 2.143683e-01 1.806117e-01 2.442171e-01 9.603340e-01
4.193597e-01 6.126426e-01 2.641175e-02 2.371403e-10 3.527442e-10 2.115592e-12 2.443409e-01 2.001566e-01 3.341683e-01 2.442740e-01 1.557512e-01 3.458667e-01 4.918794e-01
1.637907e-01 2.710085e-01 1.409039e-02 1.472183e-10 2.510001e-10 2.315502e-12 2.334166e-01 2.197528e-01 2.524943e-01 2.297477e-01 1.710602e-01 2.915510e-01 7.162162e-01
1.471581e-01 4.502003e-01 4.674013e-03 7.910286e-11 2.437288e-10 1.699226e-12 1.613895e-01 1.600098e-01 1.620382e-01 1.657442e-01 1.402481e-01 1.764595e-01 2.126850e+00
